created_at,entry_id,field1,field2,field3,field4
2024-05-09 06:10:32 UTC,1486,44,nan,nan,0
2024-05-09 06:10:48 UTC,1487,44,nan,nan,0
2024-05-09 06:11:04 UTC,1488,44,nan,nan,0
2024-05-09 06:11:19 UTC,1489,44,nan,nan,0
2024-05-09 06:11:35 UTC,1490,44,nan,nan,0
2024-05-09 06:11:50 UTC,1491,44,nan,nan,0
2024-05-09 06:12:06 UTC,1492,44,nan,nan,0
2024-05-09 06:12:21 UTC,1493,44,nan,nan,0
2024-05-09 06:12:37 UTC,1494,44,nan,nan,0
2024-05-09 06:13:08 UTC,1495,44,nan,nan,0
2024-05-09 06:13:23 UTC,1496,44,nan,nan,0
2024-05-09 06:13:38 UTC,1497,44,nan,nan,0
2024-05-09 06:13:54 UTC,1498,44,nan,nan,0
2024-05-09 06:14:09 UTC,1499,44,nan,nan,0
2024-05-09 06:14:25 UTC,1500,44,nan,nan,0
2024-05-09 06:14:41 UTC,1501,44,nan,nan,0
2024-05-09 06:14:56 UTC,1502,44,nan,nan,0
2024-05-09 06:15:12 UTC,1503,44,nan,nan,0
2024-05-09 06:15:27 UTC,1504,44,nan,nan,0
2024-05-09 06:15:43 UTC,1505,44,nan,nan,0
2024-05-09 06:15:59 UTC,1506,44,nan,nan,0
2024-05-09 06:16:15 UTC,1507,44,nan,nan,0
2024-05-09 06:16:30 UTC,1508,44,nan,nan,0
2024-05-09 06:16:46 UTC,1509,44,nan,nan,0
2024-05-09 06:17:01 UTC,1510,44,nan,nan,0
2024-05-09 06:17:17 UTC,1511,44,nan,nan,0
2024-05-09 06:17:33 UTC,1512,44,nan,nan,0
2024-05-09 06:17:48 UTC,1513,44,nan,nan,0
2024-05-09 06:18:04 UTC,1514,44,nan,nan,0
2024-05-09 06:18:19 UTC,1515,44,nan,nan,0
2024-05-09 06:18:35 UTC,1516,44,nan,nan,0
2024-05-09 06:18:57 UTC,1517,44,nan,nan,0
2024-05-09 06:19:12 UTC,1518,44,nan,nan,0
2024-05-09 06:19:27 UTC,1519,44,nan,nan,0
2024-05-09 06:19:43 UTC,1520,44,nan,nan,0
2024-05-09 06:19:58 UTC,1521,44,nan,nan,0
2024-05-09 06:20:14 UTC,1522,44,nan,nan,0
2024-05-09 06:20:30 UTC,1523,44,nan,nan,0
2024-05-09 06:20:45 UTC,1524,44,nan,nan,0
2024-05-09 06:21:00 UTC,1525,45,nan,nan,0
2024-05-09 06:21:15 UTC,1526,44,nan,nan,0
2024-05-09 06:21:31 UTC,1527,44,nan,nan,0
2024-05-09 06:21:47 UTC,1528,44,nan,nan,0
2024-05-09 06:22:02 UTC,1529,44,nan,nan,0
2024-05-09 06:22:18 UTC,1530,44,nan,nan,0
2024-05-09 06:22:34 UTC,1531,44,nan,nan,0
2024-05-09 06:22:50 UTC,1532,44,nan,nan,0
2024-05-09 06:23:05 UTC,1533,44,nan,nan,0
2024-05-09 06:23:20 UTC,1534,44,nan,nan,0
2024-05-09 06:23:39 UTC,1535,44,nan,nan,0
2024-05-09 06:23:55 UTC,1536,44,nan,nan,0
2024-05-09 06:24:11 UTC,1537,44,nan,nan,0
2024-05-09 06:24:26 UTC,1538,44,nan,nan,0
2024-05-09 06:24:42 UTC,1539,44,nan,nan,0
2024-05-09 06:24:57 UTC,1540,44,nan,nan,0
2024-05-09 06:25:13 UTC,1541,44,nan,nan,0
2024-05-09 06:25:29 UTC,1542,44,nan,nan,0
2024-05-09 06:25:45 UTC,1543,44,nan,nan,0
2024-05-09 06:26:00 UTC,1544,44,nan,nan,0
2024-05-09 06:26:16 UTC,1545,44,nan,nan,0
2024-05-09 06:26:34 UTC,1546,44,nan,nan,0
2024-05-09 06:26:50 UTC,1547,44,nan,nan,0
2024-05-09 06:27:12 UTC,1548,44,nan,nan,0
2024-05-09 06:27:28 UTC,1549,44,nan,nan,0
2024-05-09 06:27:43 UTC,1550,44,nan,nan,0
2024-05-09 06:27:59 UTC,1551,44,nan,nan,0
2024-05-09 06:28:14 UTC,1552,44,nan,nan,0
2024-05-09 06:28:30 UTC,1553,44,nan,nan,0
2024-05-09 06:28:46 UTC,1554,44,nan,nan,0
2024-05-09 06:29:02 UTC,1555,44,nan,nan,0
2024-05-09 06:29:18 UTC,1556,44,nan,nan,0
2024-05-09 06:29:33 UTC,1557,44,nan,nan,0
2024-05-09 06:29:49 UTC,1558,44,nan,nan,0
2024-05-09 06:30:04 UTC,1559,44,nan,nan,0
2024-05-09 06:30:19 UTC,1560,44,nan,nan,0
2024-05-09 06:30:35 UTC,1561,44,nan,nan,0
2024-05-09 06:30:51 UTC,1562,44,nan,nan,0
2024-05-09 06:31:11 UTC,1563,44,nan,nan,0
2024-05-09 06:31:36 UTC,1564,44,nan,nan,0
2024-05-09 06:31:51 UTC,1565,44,nan,nan,0
2024-05-09 06:32:12 UTC,1566,44,nan,nan,0
2024-05-09 06:33:12 UTC,1567,44,nan,nan,0
2024-05-09 06:33:27 UTC,1568,44,nan,nan,0
2024-05-09 06:33:46 UTC,1569,44,nan,nan,0
2024-05-09 06:34:10 UTC,1570,44,nan,nan,0
2024-05-09 06:34:26 UTC,1571,44,nan,nan,0
2024-05-09 06:34:41 UTC,1572,44,nan,nan,0
2024-05-09 06:34:56 UTC,1573,44,nan,nan,0
2024-05-09 06:35:11 UTC,1574,44,nan,nan,0
2024-05-09 06:35:27 UTC,1575,44,nan,nan,0
2024-05-09 06:35:43 UTC,1576,44,nan,nan,0
2024-05-09 06:35:59 UTC,1577,44,nan,nan,0
2024-05-09 06:36:14 UTC,1578,44,nan,nan,0
2024-05-09 06:36:30 UTC,1579,44,nan,nan,0
2024-05-09 06:36:46 UTC,1580,44,nan,nan,0
2024-05-09 06:37:01 UTC,1581,44,nan,nan,0
2024-05-09 06:37:20 UTC,1582,44,nan,nan,0
2024-05-09 06:37:45 UTC,1583,44,nan,nan,0
2024-05-09 06:38:17 UTC,1584,42,nan,nan,0
2024-05-09 06:38:53 UTC,1585,46,62.8,30.3,0
2024-05-09 06:39:09 UTC,1586,44,64.5,30.3,0
2024-05-09 06:39:25 UTC,1587,0,64.4,30.3,0
2024-05-09 06:39:40 UTC,1588,22,64.2,30.3,0
2024-05-09 06:39:56 UTC,1589,51,64,30.3,0
2024-05-09 06:40:11 UTC,1590,51,63.9,30.3,0
2024-05-09 06:40:27 UTC,1591,52,63.9,30.3,0
2024-05-09 06:40:42 UTC,1592,53,64.1,30.3,0
2024-05-09 06:40:58 UTC,1593,54,64.2,30.2,0
2024-05-09 06:41:13 UTC,1594,54,64.3,30.2,0
2024-05-09 06:41:29 UTC,1595,54,64.3,30.2,0
2024-05-09 06:41:44 UTC,1596,54,64.2,30.2,0
2024-05-09 06:50:38 UTC,1630,45,64.7,30.1,0
2024-05-09 06:50:54 UTC,1631,45,65,30.1,0
2024-05-09 06:51:10 UTC,1632,45,64.9,30.1,0
2024-05-09 06:51:25 UTC,1633,45,64.9,30.1,0
2024-05-09 06:51:41 UTC,1634,45,65.1,30.1,0
2024-05-09 06:51:57 UTC,1635,45,65.2,30.1,0
2024-05-09 06:52:13 UTC,1636,45,65.1,30,0
2024-05-09 06:52:28 UTC,1637,45,65,30.1,0
2024-05-09 06:52:43 UTC,1638,45,64.9,30.1,0
2024-05-09 06:52:59 UTC,1639,44,64.9,30.1,0
2024-05-09 06:53:15 UTC,1640,44,64.9,30.1,0
2024-05-09 06:53:30 UTC,1641,44,64.9,30.1,0
2024-05-09 06:53:45 UTC,1642,44,65.1,30.1,0
2024-05-09 06:54:01 UTC,1643,44,65.1,30.1,0
2024-05-09 06:54:16 UTC,1644,44,65.1,30.1,0
2024-05-09 06:54:32 UTC,1645,44,65.2,30.1,0
